algorithm,eps,size,run_id,error_pct,runtime_sec
Greedy,,6,4,28.612110647251715,1.1920928955078125e-05
PTAS,0.2,6,4,1.486142616633284e-14,0.0007534027099609375
PTAS,0.5,6,4,1.486142616633284e-14,0.0006160736083984375
PTAS,0.8,6,4,22.39582274772132,7.891654968261719e-05
Greedy,,6,5,1.379452958080147e-14,1.3589859008789062e-05
PTAS,0.2,6,5,1.379452958080147e-14,0.0016739368438720703
PTAS,0.5,6,5,1.379452958080147e-14,0.0015773773193359375
PTAS,0.8,6,5,14.492986200758192,0.00010371208190917969
Greedy,,6,6,0.0,8.106231689453125e-06
PTAS,0.2,6,6,0.0,0.0002758502960205078
PTAS,0.5,6,6,0.0,0.00018453598022460938
PTAS,0.8,6,6,0.0,0.00011491775512695312
Greedy,,6,7,1.7953424052070323e-14,1.8835067749023438e-05
PTAS,0.2,6,7,0.0,0.0038781166076660156
PTAS,0.5,6,7,0.0,0.003498554229736328
PTAS,0.8,6,7,1.7953424052070323e-14,1.7642974853515625e-05
Greedy,,6,8,0.0,9.5367431640625e-06
PTAS,0.2,6,8,0.0,0.0006685256958007812
PTAS,0.5,6,8,0.0,0.0005283355712890625
PTAS,0.8,6,8,2.49461291502454,5.6743621826171875e-05
Greedy,,6,9,1.4646375785042587e-14,8.58306884765625e-06
PTAS,0.2,6,9,0.0,0.0004761219024658203
PTAS,0.5,6,9,0.0,0.0003719329833984375
PTAS,0.8,6,9,5.798989786381748,4.9114227294921875e-05
Greedy,,6,10,0.0,7.62939453125e-06
PTAS,0.2,6,10,0.0,0.0003859996795654297
PTAS,0.5,6,10,0.0,0.000286102294921875
PTAS,0.8,6,10,100.0,7.700920104980469e-05
Greedy,,6,11,0.0,8.344650268554688e-06
PTAS,0.2,6,11,0.0,0.0002593994140625
PTAS,0.5,6,11,0.0,0.00017404556274414062
PTAS,0.8,6,11,7.9559082599752236,7.796287536621094e-05
Greedy,,6,12,2.32548914297813,7.3909759521484375e-06
PTAS,0.2,6,12,0.0,0.0003821849822998047
PTAS,0.5,6,12,0.0,0.00028014183044433594
PTAS,0.8,6,12,6.159652448436164,5.459785461425781e-05
Greedy,,6,13,0.0,7.62939453125e-06
PTAS,0.2,6,13,0.0,0.00035262107849121094
PTAS,0.5,6,13,0.0,0.00026988983154296875
PTAS,0.8,6,13,12.682872853319369,8.177757263183594e-05
Greedy,,6,14,0.0,8.344650268554688e-06
PTAS,0.2,6,14,0.0,0.0009043216705322266
PTAS,0.5,6,14,0.0,0.0005671977996826172
PTAS,0.8,6,14,100.0,3.719329833984375e-05
Greedy,,6,15,0.0,1.0013580322265625e-05
PTAS,0.2,6,15,0.0,0.0009000301361083984
PTAS,0.5,6,15,0.0,0.0006399154663085938
PTAS,0.8,6,15,24.964122562924654,5.507469177246094e-05
Greedy,,8,1,19.286030529301136,3.075599670410156e-05
PTAS,0.2,8,1,1.7194710816583448e-14,0.019716501235961914
PTAS,0.5,8,1,1.7194710816583448e-14,0.020026445388793945
PTAS,0.8,8,1,100.0,0.00010943412780761719
Greedy,,8,2,1.319492356878925e-14,1.3589859008789062e-05
PTAS,0.2,8,2,1.319492356878925e-14,0.002022981643676758
PTAS,0.5,8,2,3.4447598894549785,0.0010676383972167969
PTAS,0.8,8,2,24.188238978253864,5.6743621826171875e-05
Greedy,,8,3,0.0,1.2636184692382812e-05
PTAS,0.2,8,3,0.0,0.0028574466705322266
PTAS,0.5,8,3,0.0,0.0024929046630859375
PTAS,0.8,8,3,5.523365711266863,5.8650970458984375e-05
Greedy,,8,4,16.487778606371897,1.4066696166992188e-05
PTAS,0.2,8,4,0.0,0.0016846656799316406
PTAS,0.5,8,4,0.0,0.0006537437438964844
PTAS,0.8,8,4,100.0,6.29425048828125e-05
Greedy,,8,5,0.0,2.193450927734375e-05
PTAS,0.2,8,5,0.0,0.0059087276458740234
PTAS,0.5,8,5,0.4308256209754947,0.0015938282012939453
PTAS,0.8,8,5,3.9619783192246314,7.653236389160156e-05
Greedy,,8,6,0.0,1.9550323486328125e-05
PTAS,0.2,8,6,0.0,0.007987737655639648
PTAS,0.5,8,6,0.0,0.006340980529785156
PTAS,0.8,8,6,2.855687580721037,0.0004429817199707031
Greedy,,8,7,2.6326124610798414,2.3126602172851562e-05
PTAS,0.2,8,7,0.0,0.005928516387939453
PTAS,0.5,8,7,0.0,0.004686832427978516
PTAS,0.8,8,7,2.637928287409088,0.00011730194091796875
Greedy,,8,8,3.838334462021594,1.1682510375976562e-05
PTAS,0.2,8,8,1.505327788189352e-14,0.003859281539916992
PTAS,0.5,8,8,1.505327788189352e-14,0.003568410873413086
PTAS,0.8,8,8,100.0,0.00010132789611816406
Greedy,,8,9,0.0,1.0013580322265625e-05
PTAS,0.2,8,9,0.0,0.0007264614105224609
PTAS,0.5,8,9,0.0,8.225440979003906e-05
PTAS,0.8,8,9,0.0,6.580352783203125e-05
Greedy,,8,10,0.0,1.3589859008789062e-05
PTAS,0.2,8,10,1.2257375980872187e-14,0.003407001495361328
PTAS,0.5,8,10,1.2257375980872187e-14,0.004514217376708984
PTAS,0.8,8,10,0.7321640504966661,0.0002105236053466797
Greedy,,8,11,0.0,1.9073486328125e-05
PTAS,0.2,8,11,0.0,0.0011134147644042969
PTAS,0.5,8,11,6.38273936339262,0.00013017654418945312
PTAS,0.8,8,11,6.38273936339262,8.440017700195312e-05
Greedy,,8,12,0.0,1.9073486328125e-05
PTAS,0.2,8,12,0.0,0.0015726089477539062
PTAS,0.5,8,12,0.0,0.0013725757598876953
PTAS,0.8,8,12,100.0,0.0001304149627685547
Greedy,,8,13,1.2943551885732722e-14,1.9073486328125e-05
PTAS,0.2,8,13,1.2943551885732722e-14,0.001760721206665039
PTAS,0.5,8,13,12.787918426560651,0.00021409988403320312
PTAS,0.8,8,13,6.701340790909935,0.00010752677917480469
Greedy,,8,14,17.579202739153786,3.147125244140625e-05
PTAS,0.2,8,14,0.0,0.007234334945678711
PTAS,0.5,8,14,0.0,0.007283687591552734
PTAS,0.8,8,14,100.0,0.0001423358917236328
Greedy,,8,15,0.0,1.9550323486328125e-05
PTAS,0.2,8,15,0.0,0.0027675628662109375
PTAS,0.5,8,15,0.0,0.0018012523651123047
PTAS,0.8,8,15,1.2446717621688717,0.00011777877807617188
Greedy,,10,1,0.0,1.33514404296875e-05
PTAS,0.2,10,1,0.0,0.0013036727905273438
PTAS,0.5,10,1,0.0,0.0011277198791503906
PTAS,0.8,10,1,5.010593337205319,0.00012040138244628906
Greedy,,10,2,5.528131089364218,2.5510787963867188e-05
PTAS,0.2,10,2,0.0,0.03449511528015137
PTAS,0.5,10,2,0.0,0.0374755859375
PTAS,0.8,10,2,9.680731666390733,0.00014495849609375
Greedy,,10,3,0.0,1.8835067749023438e-05
PTAS,0.2,10,3,0.0,0.0032269954681396484
PTAS,0.5,10,3,0.8972510708672431,0.0015947818756103516
PTAS,0.8,10,3,3.2962627453802775,0.00010752677917480469
Greedy,,10,4,0.0,1.1205673217773438e-05
PTAS,0.2,10,4,0.0,0.0010280609130859375
PTAS,0.5,10,4,0.0,0.0008940696716308594
PTAS,0.8,10,4,6.007310499001046,0.00012254714965820312
Greedy,,10,5,0.0,1.2874603271484375e-05
PTAS,0.2,10,5,0.0,0.0022695064544677734
PTAS,0.5,10,5,0.0,0.0019583702087402344
PTAS,0.8,10,5,8.145850102655734,6.318092346191406e-05
Greedy,,10,6,1.3573229078590504e-14,2.384185791015625e-05
PTAS,0.2,10,6,1.3573229078590504e-14,0.02670121192932129
PTAS,0.5,10,6,1.3573229078590504e-14,0.024997472763061523
PTAS,0.8,10,6,1.4694772417217181,0.00015425682067871094
Greedy,,10,7,1.38019408488954,1.6450881958007812e-05
PTAS,0.2,10,7,1.408371122055539e-14,0.004986763000488281
PTAS,0.5,10,7,10.834227754058286,0.0001537799835205078
PTAS,0.8,10,7,100.0,5.340576171875e-05
Greedy,,10,8,18.282585193122607,1.6689300537109375e-05
PTAS,0.2,10,8,0.0,0.004635334014892578
PTAS,0.5,10,8,16.580244132080328,9.417533874511719e-05
PTAS,0.8,10,8,9.976678786374315,9.059906005859375e-05
Greedy,,10,9,0.0,1.9073486328125e-05
PTAS,0.2,10,9,0.0,0.0023734569549560547
PTAS,0.5,10,9,3.7622844733081378,0.0001323223114013672
PTAS,0.8,10,9,17.399699911208838,6.270408630371094e-05
Greedy,,10,10,0.0,1.1682510375976562e-05
PTAS,0.2,10,10,0.0,0.002293109893798828
