algorithm,size,run_id,runtime_sec,peak_mem_kb
PTAS,32,2,0.0005381107330322266,3.2890625
Greedy,32,2,0.000186920166015625,0.7890625
PTAS,32,3,0.0006263256072998047,4.109375
Greedy,32,3,0.00017452239990234375,0.84375
PTAS,32,4,0.0004923343658447266,3.265625
Greedy,32,4,0.00016117095947265625,0.84375
PTAS,32,5,0.00046753883361816406,2.734375
Greedy,32,5,0.00015997886657714844,0.8359375
PTAS,32,6,0.00046372413635253906,3.2578125
Greedy,32,6,0.00019025802612304688,0.84375
PTAS,32,7,0.0005280971527099609,3.203125
Greedy,32,7,0.00014972686767578125,0.84375
PTAS,32,8,0.0004780292510986328,3.2890625
Greedy,32,8,0.00016236305236816406,0.8984375
PTAS,32,9,0.0005061626434326172,3.203125
Greedy,32,9,0.00028824806213378906,0.9921875
PTAS,32,10,0.00048804283142089844,3.1953125
Greedy,32,10,0.0001761913299560547,0.8984375
PTAS,32,11,0.000469207763671875,2.6328125
Greedy,32,11,0.00016760826110839844,0.84375
PTAS,32,12,0.0005488395690917969,3.203125
Greedy,32,12,0.00014591217041015625,0.78125
PTAS,32,13,0.0005114078521728516,3.1484375
Greedy,32,13,0.00017786026000976562,0.84375
PTAS,32,14,0.000331878662109375,1.59375
Greedy,32,14,0.00017523765563964844,0.8984375
PTAS,32,15,0.00046825408935546875,3.2578125
Greedy,32,15,0.00018453598022460938,0.84375
PTAS,64,1,0.0006985664367675781,3.71875
Greedy,64,1,0.00036144256591796875,1.2109375
PTAS,64,2,0.0007309913635253906,3.5625
Greedy,64,2,0.00030040740966796875,1.0859375
PTAS,64,3,0.0009064674377441406,4.7890625
Greedy,64,3,0.000324249267578125,1.09375
PTAS,64,4,0.0008087158203125,4.34375
Greedy,64,4,0.0003154277801513672,1.1484375
PTAS,64,5,0.0008401870727539062,4.5546875
Greedy,64,5,0.0002892017364501953,1.0859375
PTAS,64,6,0.00074005126953125,3.40625
Greedy,64,6,0.0003104209899902344,1.1484375
PTAS,64,7,0.0007565021514892578,3.5703125
Greedy,64,7,0.0003952980041503906,1.15625
PTAS,64,8,0.0006449222564697266,3.4765625
Greedy,64,8,0.0003540515899658203,1.09375
PTAS,64,9,0.0006287097930908203,3.0703125
Greedy,64,9,0.0003867149353027344,1.2109375
PTAS,64,10,0.0007998943328857422,4.421875
Greedy,64,10,0.00029730796813964844,1.09375
PTAS,64,11,0.0008587837219238281,5.1484375
Greedy,64,11,0.00029158592224121094,1.09375
PTAS,64,12,0.0007300376892089844,3.5234375
Greedy,64,12,0.0002913475036621094,1.0390625
PTAS,64,13,0.0006632804870605469,3.5390625
Greedy,64,13,0.00029468536376953125,1.0859375
PTAS,64,14,0.0007457733154296875,3.625
Greedy,64,14,0.00028395652770996094,1.0859375
PTAS,64,15,0.0007336139678955078,3.6328125
Greedy,64,15,0.0003361701965332031,1.1484375
PTAS,128,1,0.0014946460723876953,5.8515625
Greedy,128,1,0.0007395744323730469,2.8984375
PTAS,128,2,0.0014235973358154297,5.875
Greedy,128,2,0.0005931854248046875,2.9453125
PTAS,128,3,0.001306772232055664,5.3828125
Greedy,128,3,0.0007364749908447266,2.9453125
PTAS,128,4,0.0029609203338623047,4.7109375
Greedy,128,4,0.0007352828979492188,2.921875
PTAS,128,5,0.0012655258178710938,5.421875
Greedy,128,5,0.0006537437438964844,2.9453125
PTAS,128,6,0.0013093948364257812,4.7890625
Greedy,128,6,0.000591278076171875,2.9453125
PTAS,128,7,0.0012807846069335938,4.734375
Greedy,128,7,0.0008432865142822266,2.9453125
PTAS,128,8,0.0011920928955078125,4.6953125
Greedy,128,8,0.0008528232574462891,2.9453125
PTAS,128,9,0.0010867118835449219,4.71875
Greedy,128,9,0.0008141994476318359,2.9453125
PTAS,128,10,0.0015017986297607422,5.6328125
Greedy,128,10,0.0006601810455322266,2.9453125
PTAS,128,11,0.0013339519500732422,5.609375
Greedy,128,11,0.0006692409515380859,2.9453125
PTAS,128,12,0.0012805461883544922,5.2890625
Greedy,128,12,0.0007045269012451172,2.9453125
PTAS,128,13,0.0013551712036132812,4.7890625
